500 50
0 1 664.79
0 2 228.83
0 3 935.42
0 4 972.59
0 5 780.69
0 6 484.8
0 7 891.47
0 8 357.83
0 9 112.02
0 10 313.64
0 11 281.9
0 12 45.23
0 13 245.35
0 14 393.93
0 15 644.51
0 16 298.49
0 17 29.95
0 18 663.43
0 19 555.22
0 20 755.25
0 21 267.56
0 22 710.55
0 23 466.71
0 24 158.69
0 25 784.62
0 26 230.78
0 27 937.6
0 28 269.45
0 29 792.24
0 30 275.97
0 31 335.18
0 32 914.51
0 33 540.41
0 34 112.13
0 35 356.5
0 36 851.83
0 37 296.76
0 38 61.49
0 39 811.58
0 40 72.64
0 41 629.97
0 42 395.58
0 43 957.89
0 44 645.97
0 45 196.98
0 46 82.05
0 47 929.31
0 48 114.55
0 49 907.5
0 50 95.65
0 51 333.17
0 52 285.95
0 53 371.89
0 54 648.76
0 55 239.73
0 56 697.41
0 57 59.39
0 58 337.53
0 59 364.42
0 60 283.46
0 61 831.55
0 62 944.4
0 63 8.4
0 64 514.43
0 65 859.53
0 66 6.65
0 67 655.69
0 68 686
0 69 960.25
0 70 713.89
0 71 803.41
0 72 411.22
0 73 201.55
0 74 652.02
0 75 778.09
0 76 927.92
0 77 553.35
0 78 502.3
0 79 155.62
0 80 590.11
0 81 513.74
0 82 845.4
0 83 977.33
0 84 463.46
0 85 485.41
0 86 8.01
0 87 749.64
0 88 986.66
0 89 87.29
0 90 998.4
0 91 232.3
0 92 148.54
0 93 341.41
0 94 350.8
0 95 375.46
0 96 852.29
0 97 985.06
0 98 80.55
0 99 265.19
0 100 884.98
0 101 988.02
0 102 480.46
0 103 162.71
0 104 827.48
0 105 526.37
0 106 227.65
0 107 989.35
0 108 69.17
0 109 534.98
0 110 310.87
0 111 820.43
0 112 547.95
0 113 870.18
0 114 81.42
0 115 526.17
0 116 500.29
0 117 135.8
0 118 456.07
0 119 800.52
0 120 994.66
0 121 884.82
0 122 642.57
0 123 997.89
0 124 562.38
0 125 930.46
0 126 368.74
0 127 240.01
0 128 77.86
0 129 829.22
0 130 22.9
0 131 456.48
0 132 515.38
0 133 506.59
0 134 815.56
0 135 253.07
0 136 996.59
0 137 942.63
0 138 639.75
0 139 432.84
0 140 668.21
0 141 419.18
0 142 849.27
0 143 738.47
0 144 795.1
0 145 700.35
0 146 454.24
0 147 668.3
0 148 1.73
0 149 847.82
0 150 667.51
0 151 815.77
0 152 940.33
0 153 706.74
0 154 705.46
0 155 819.13
0 156 421.36
0 157 581.03
0 158 622.86
0 159 453
0 160 695.04
0 161 670.42
0 162 247.94
0 163 516.08
0 164 91.81
0 165 215.58
0 166 329.88
0 167 947.09
0 168 884.67
0 169 240.11
0 170 133.98
0 171 88.01
0 172 622.88
0 173 683.99
0 174 960.06
0 175 797.13
0 176 239.7
0 177 198.07
0 178 746.42
0 179 547.37
0 180 139.26
0 181 340.44
0 182 661.76
0 183 947.33
0 184 434.52
0 185 402.55
0 186 23.81
0 187 441.94
0 188 421.67
0 189 448.81
0 190 525.79
0 191 115.68
0 192 264.31
0 193 61.67
0 194 697.55
0 195 719.14
0 196 499.8
0 197 77.06
0 198 804.59
0 199 361.17
0 200 563.81
0 201 887.73
0 202 166.04
0 203 421.97
0 204 900.38
0 205 878.88
0 206 229.14
0 207 767.94
0 208 627.99
0 209 122.1
0 210 551.99
0 211 171.05
0 212 339.5
0 213 635.43
0 214 741.34
0 215 963.82
0 216 56.02
